scholar_id,given_name,family_name,full_name,is_editor,field_of_study,former_surname,field_of_study_broad
1037,Eva,Zink,Eva Zink,False,Pädagogisch-Psychologische Methoden,,Methoden & Statistik
1038,Stephan,Abele,Stephan Abele,False,Berufspädagogik,,Bildung & Erziehungswissenschaft
1039,Lisa,Schwarz,Lisa Schwarz,False,Sozialökonomik,,Ökonomie & Arbeitsmarkt
1040,Meike,Bender,Meike Bender,False,Datenschutz,,Forschungsmanagement
1041,Brigitte,Bogensperger,Brigitte Bogensperger,False,Datenschutz,,Forschungsmanagement
1042,Sonja,Gruner,Sonja Gruner,False,Evaluation,,Methoden & Statistik
1043,David,Schiller,David Schiller,False,Forschungsdateninfrastruktur,,Forschungsmanagement
1044,Henriette,Engelhardt-Wölfler,Henriette Engelhardt-Wölfler,False,Demografie,,Demographie & Lebensverlauf
1045,Benjamin,Schimke,Benjamin Schimke,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
1046,Eyal,Bar-Haim,Eyal Bar-Haim,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
1047,Carlo,Barone,Carlo Barone,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
1048,Jesper,Fels Birkelund,Jesper Fels Birkelund,False,Bildungssoziologie,,Bildung & Erziehungswissenschaft
1049,Vikki,Boliver,Vikki Boliver,False,Ungleichheitsforschung,,Soziologie & Gesellschaft
1050,Queralt,Capsada-Munsech,Queralt Capsada-Munsech,False,Bildungsungleichheit,,Bildung & Erziehungswissenschaft
1051,Marta,Facchini,Marta Facchini,False,Ungleichheitsforschung,,Soziologie & Gesellschaft
1052,Yariv,Feniger,Yariv Feniger,False,Ungleichheitsforschung,,Soziologie & Gesellschaft
1053,Laura,Heiskala,Laura Heiskala,False,Ungleichheitsforschung,,Soziologie & Gesellschaft
1054,Estelle,Herbaut,Estelle Herbaut,False,Bildungsungleichheit,,Bildung & Erziehungswissenschaft
1055,Mathieu,Ichou,Mathieu Ichou,False,Migrationsforschung,,Migration & Integration
1056,Kristian Bernt,Karlson,Kristian Bernt Karlson,False,Bildungsstratifikation,,Bildung & Erziehungswissenschaft
1057,David,Reimer,David Reimer,False,Bildungsungleichheit,,Bildung & Erziehungswissenschaft
1058,Claudia,Traini,Claudia Traini,False,Soziale Ungleichheit,,Soziologie & Gesellschaft
1059,Louis-André,Vallet,Louis-André Vallet,False,Empirische Methoden,,Methoden & Statistik
1060,Steffen,Zitzmann,Steffen Zitzmann,False,Quantitative Datenanalyse,,Methoden & Statistik
1061,Thorsten,Fuchs,Thorsten Fuchs,True,Erziehungswissenschaft,,Bildung & Erziehungswissenschaft
1062,Susanne,Schmid,Susanne Schmid,False,Familiensoziologie,,Soziologie & Gesellschaft
1063,Mathias,Huebener,Mathias Huebener,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
1064,Malin,Mahlbacher,Malin Mahlbacher,False,Bildungsökonomik,,Ökonomie & Arbeitsmarkt
1065,Margaretha,Fahrner-Müller,Margaretha Müller,False,Frühkindliche Bildung,Müller,Bildung & Erziehungswissenschaft
1066,Andreas,Schmitz,Andreas Schmitz,False,Soziologie,,Soziologie & Gesellschaft
1067,Sarah,Schneider,Sarah Schneider,False,Empirische Bildungsforschung,,Bildung & Erziehungswissenschaft
1068,Katrin,Rentzsch,Katrin Rentzsch,False,Psychologische Diagnostik,,Methoden & Statistik
1069,Thomas,Lösch,Thomas Lösch,False,Forschungsdatenmanagement,,Forschungsmanagement
